NVisits & Complaint & Residency & Gender & Revenue & Hours
2014 & 2 & Y & F & 263.03 & 1287.25
3091 & 3 & N & M & 334.94 & 1588.00
879 & 1 & Y & M & 206.42 & 705.25
1780 & 1 & N & M & 226.32 & 1005.50
3646 & 11 & N & M & 288.91 & 1667.25
2690 & 1 & N & M & 275.94 & 1517.75
1864 & 2 & Y & M & 295.71 & 967.00
2782 & 6 & N & M & 224.91 & 1609.25
3071 & 9 & N & F & 249.32 & 1747.75
1502 & 3 & Y & M & 269.00 & 906.25
2438 & 2 & N & F & 225.61 & 1787.75
2278 & 2 & N & M & 212.43 & 1480.50
2458 & 5 & N & M & 211.05 & 1733.50
2269 & 2 & N & F & 213.23 & 1847.25
2431 & 7 & N & M & 257.30 & 1433.00
3010 & 2 & Y & M & 326.49 & 1520.00
2234 & 5 & Y & M & 290.53 & 1404.75
2906 & 4 & N & M & 268.73 & 1608.50
2043 & 2 & Y & M & 231.61 & 1220.00
3022 & 7 & N & M & 241.04 & 1917.25
2123 & 5 & N & F & 238.65 & 1506.25
1029 & 1 & Y & F & 287.76 & 589.00
3003 & 3 & Y & F & 280.52 & 1552.75
2178 & 2 & N & M & 237.31 & 1518.00
2504 & 1 & Y & F & 218.70 & 1793.75
2211 & 1 & N & F & 250.01 & 1548.00
2338 & 6 & Y & M & 251.54 & 1446.00
3060 & 2 & Y & M & 270.52 & 1858.25
2302 & 1 & N & M & 247.31 & 1486.25
1486 & 1 & Y & F & 277.78 & 933.75
1863 & 1 & Y & M & 259.68 & 1168.25
1661 & 0 & N & M & 260.92 & 877.25
2008 & 2 & N & M & 240.22 & 1387.25
2138 & 2 & N & M & 217.49 & 1312.00
2556 & 5 & N & M & 250.31 & 1551.50
1451 & 3 & Y & F & 229.43 & 973.75
3328 & 3 & Y & M & 313.48 & 1638.25
2927 & 8 & N & M & 293.47 & 1668.25
2701 & 8 & N & M & 275.40 & 1652.75
2046 & 1 & Y & M & 289.56 & 1029.75
2548 & 2 & Y & M & 305.67 & 1127.00
2592 & 1 & N & M & 252.35 & 1547.25
2741 & 1 & Y & F & 276.86 & 1499.25
3763 & 10 & Y & M & 308.84 & 1747.50
